rule,timetodeath
B12345/S2367,25039.0
B1/S123468,25039.0
B12345/S234567,25039.0
B123/S827,25039.0
B12345/S234568,25039.0
B1/S123467,25039.0
B123/S826,25039.0
B123/S825,25039.0
B1234/S123468,25039.0
B1234/S123467,25039.0
B1234567/S82357,25039.0
B1234567/S82356,25039.0
B123/S81457,25039.0
B12345678/S235678,25039.0
B123456/S1256,25039.0
B123456/S1257,25039.0
B123/S1346,25039.0
B123/S1347,25039.0
B123/S1345,25039.0
B123/S8567,25039.0
B12345/S123478,25039.0
B123456/S8237,25039.0
B123456/S8236,25039.0
B123456/S8235,25039.0
B123456/S8234,25039.0
B1/S8135,25039.0
B1/S8167,25039.0
B123/S1236,25039.0
B123/S1237,25039.0
B123/S1234,25039.0
B123/S1235,25039.0
B1234/S13567,25039.0
B12345678/S83567,25039.0
B1/S8134,25039.0
B12345678/S2456,25039.0
B12345678/S2457,25039.0
B1/S1356,25039.0
B1/S1357,25039.0
B123/S82457,25039.0
B12345/S8256,25039.0
B12345/S8257,25039.0
B123/S8147,25039.0
B123/S8146,25039.0
B123/S8145,25039.0
B12345/S457,25039.0
B12345/S456,25039.0
B1/S8137,25039.0
B123456/S83467,25039.0
B1/S167,25039.0
B12/S8267,25039.0
B123/S81367,25039.0
B1234/S356,25039.0
B1234/S357,25039.0
B12/S846,25039.0
B1/S8136,25039.0
B1234567/S2467,25039.0
B123456/S367,25039.0
B12345678/S1246,25039.0
B123/S1567,25039.0
B123/S845,25039.0
B123/S847,25039.0
B123/S846,25039.0
B12/S8467,25039.0
B123456/S84567,25039.0
B12345678/S1347,25039.0
B12345678/S1346,25039.0
B12345678/S1345,25039.0
B1234/S8245,25039.0
B1234/S8247,25039.0
B1234/S8246,25039.0
B1234/S1234678,25039.0
B1234/S23567,25039.0
B12/S135678,25039.0
B1/S356,25039.0
B1/S357,25039.0
B12345678/S145678,25039.0
B1/S234,25039.0
B1234567/S123468,25039.0
B12/S23456,25039.0
B123/S8356,25039.0
B1234567/S123467,25039.0
B123/S8357,25039.0
B1/S8256,25039.0
B123456/S123678,25039.0
B12345/S12357,25039.0
B12345/S12356,25039.0
B1/S8257,25039.0
B12345/S857,25039.0
B12345/S856,25039.0
B12345678/S45,25039.0
B12345678/S47,25039.0
B12345678/S46,25039.0
B12345/S345678,25039.0
B123456/S357,25039.0
B123456/S356,25039.0
B12/S1235678,25039.0
B12345678/S257,25039.0
B12345678/S256,25039.0
B123/S235678,25039.0
B1234567/S346,25039.0
B1234567/S347,25039.0
B1234567/S345,25039.0
B12345678/S12467,25039.0
B12345/S81346,25039.0
B12345/S81347,25039.0
B12345/S81345,25039.0
B1234567/S1467,25039.0
B1/S2,25039.0
B1/S3,25039.0
B12345678/S3467,25039.0
B1/S6,25039.0
B1/S7,25039.0
B1/S4,25039.0
B1/S5,25039.0
B1234567/S1267,25039.0
B1/S124678,25039.0
B12/S124,25039.0
B123/S2345678,25039.0
B123/S3467,25039.0
B1/S3467,25039.0
B1234567/S12367,25039.0
B1234567/S134678,25039.0
B12345678/S8157,25039.0
B12345678/S8156,25039.0
B12/S125,25039.0
B12345/S1234678,25039.0
B1234/S23,25039.0
B1234/S27,25039.0
B1234/S26,25039.0
B1234/S25,25039.0
B1234/S24,25039.0
B123456/S34567,25039.0
B12/S2567,25039.0
B1/S23467,25039.0
B12345/S23567,25039.0
B1/S823,25039.0
B1/S826,25039.0
B1/S827,25039.0
B1/S824,25039.0
B1/S825,25039.0
B123/S12345678,25039.0
B1/S123458,25039.0
B12/S3567,25039.0
B1/S123456,25039.0
B1/S123457,25039.0
B1234/S123478,25039.0
B12/S856,25039.0
B12/S857,25039.0
B1234567/S82346,25039.0
B1234567/S82347,25039.0
B1234567/S82345,25039.0
B1234/S123678,25039.0
B123456/S1267,25039.0
B1234567/S12345678,25039.0
B123/S1357,25039.0
B123/S1356,25039.0
B12345/S123468,25039.0
B12345/S123467,25039.0
B1234567/S8245,25039.0
B1234567/S8246,25039.0
B1234567/S8247,25039.0
B1/S1345,25039.0
B1/S1347,25039.0
B1/S1346,25039.0
B12345/S8247,25039.0
B12345/S8246,25039.0
B12345/S8245,25039.0
B123/S8135,25039.0
B123/S456,25039.0
B123/S457,25039.0
B12/S123478,25039.0
B1234/S345,25039.0
B1234/S347,25039.0
B1234/S346,25039.0
B12/S456,25039.0
B12/S457,25039.0
B1234/S167,25039.0
B1/S1235,25039.0
B1/S1234,25039.0
B1/S1237,25039.0
B1/S1236,25039.0
B123/S856,25039.0
B123/S857,25039.0
B1/S346,25039.0
B123456/S4567,25039.0
B1/S4567,25039.0
B123/S124567,25039.0
B123/S124568,25039.0
B12/S8145,25039.0
B12345678/S1356,25039.0
B12345678/S1357,25039.0
B1234/S8256,25039.0
B1234/S8257,25039.0
B12345/S87,25039.0
B12345/S86,25039.0
B12345/S85,25039.0
B12345/S84,25039.0
B12345/S83,25039.0
B12345/S82,25039.0
B123456/S81237,25039.0
B123456/S81236,25039.0
B1/S367,25039.0
B12/S234678,25039.0
B1234/S257,25039.0
B1234567/S123678,25039.0
